,State,School District,Year,Enrollment,Total Revenues,Total Expenditures,Expenditures per Pupil
439,Arkansas,Alpena Sch Dist 5,2016,520.0,5128000,4822000,9273.076923076924
440,Arkansas,Bergman Sch Dist 3,2016,1143.0,10465000,10056000,8797.900262467192
441,Arkansas,Lead Hill School District,2016,399.0,4170000,3954000,9909.774436090225
442,Arkansas,Harrison Sch Dist 1,2016,2668.0,29805000,41782000,15660.419790104948
443,Arkansas,Omaha Sch Dist 6,2016,442.0,4821000,4790000,10837.10407239819
444,Arkansas,Valley Springs Sch Dist 2,2016,921.0,8577000,8144000,8842.562432138979
445,Arkansas,Ozarks Unlimited Resources Coop,2016,0.0,5775000,5622000,inf
446,Arkansas,Hermitage Sch Dist 12,2016,457.0,5659000,5993000,13113.78555798687
447,Arkansas,Warren Sch Dist 1,2016,1626.0,19626000,17835000,10968.634686346864
448,Arkansas,Hampton Sch Dist 1,2016,566.0,6174000,6176000,10911.66077738516
449,Arkansas,Berryville Sch Dist,2016,2049.0,20285000,19929000,9726.207906295755
450,Arkansas,Eureka Springs Sch Dist,2016,665.0,9693000,8424000,12667.66917293233
451,Arkansas,Green Forest Sch Dist,2016,1220.0,13338000,13218000,10834.426229508197
452,Arkansas,Dermott Sch Dist,2016,388.0,5665000,5074000,13077.319587628866
453,Arkansas,Lakeside School District #1,2016,1134.0,12900000,12010000,10590.828924162257
454,Arkansas,Arkadelphia Sch Dist,2016,1955.0,20784000,20328000,10397.953964194374
455,Arkansas,Gurdon Sch Dist,2016,771.0,8056000,8041000,10429.312581063554
456,Arkansas,Dawson Education Service Coop,2016,0.0,11834000,11730000,inf
457,Arkansas,Corning Sch Dist 8,2016,966.0,9647000,9614000,9952.380952380952
458,Arkansas,Piggott Sch Dist 52,2016,972.0,8746000,7999000,8229.423868312757
459,Arkansas,Rector School District,2016,653.0,6236000,5789000,8865.237366003063
460,Arkansas,Concord Sch Dist 3,2016,474.0,5918000,6026000,12713.08016877637
461,Arkansas,Heber Springs Sch Dist 1,2016,1742.0,18379000,18241000,10471.29735935706
462,Arkansas,Quitman Sch Dist 21,2016,644.0,7599000,6933000,10765.52795031056
463,Arkansas,West Side Greers Ferry Sch Dist,2016,461.0,7457000,5562000,12065.075921908894
464,Arkansas,Cleveland County Sch Dist 36,2016,962.0,9582000,9752000,10137.214137214138
465,Arkansas,Woodlawn Sch Dist 6,2016,552.0,5166000,5110000,9257.246376811594
466,Arkansas,Emerson-Taylor Sch Dist,2016,1002.0,11363000,11950000,11926.147704590818
467,Arkansas,Magnolia Sch Dist,2016,2983.0,29038000,28873000,9679.1820315119
468,Arkansas,Nemo Vista Sch Dist 8,2016,461.0,6516000,5836000,12659.43600867679
469,Arkansas,Wonderview School District 2,2016,464.0,5024000,5048000,10879.310344827587
470,Arkansas,Arch Ford Educ Serv Coop,2016,0.0,18867000,18158000,inf
471,Arkansas,South Conway Co Sch Dist,2016,2285.0,25055000,25361000,11098.90590809628
472,Arkansas,Bay School District,2016,577.0,5929000,5999000,10396.88041594454
473,Arkansas,Brookland Sch Dist,2016,2350.0,24526000,28601000,12170.63829787234
474,Arkansas,Jonesboro Sch Dist,2016,6194.0,64965000,64864000,10472.069744914434
475,Arkansas,Riverside Sch Dist,2016,856.0,10297000,13618000,15908.878504672897
476,Arkansas,Nettleton Sch Dist,2016,3420.0,36108000,34789000,10172.222222222223
477,Arkansas,Valley View Sch Dist,2016,2809.0,27199000,30914000,11005.339978640086
478,Arkansas,Buffalo Island Central Sch Dt,2016,807.0,8075000,8181000,10137.546468401488
479,Arkansas,Westside Cons School Dist,2016,1778.0,16734000,15989000,8992.688413948257
480,Arkansas,Alma Sch Dist 30,2016,3212.0,32301000,31208000,9716.064757160648
481,Arkansas,Cedarville Sch Dist 44,2016,830.0,8901000,10922000,13159.036144578313
482,Arkansas,Mountainburg Sch Dist 16,2016,706.0,8852000,7228000,10237.960339943344
483,Arkansas,Mulberry Sch Dist 101,2016,379.0,4572000,4120000,10870.712401055409
484,Arkansas,Van Buren Sch Dist 42,2016,5897.0,60483000,57144000,9690.351025945396
485,Arkansas,Earle Sch Dist,2016,644.0,7835000,7784000,12086.95652173913
486,Arkansas,West Memphis School District,2016,5721.0,65641000,59713000,10437.51092466352
487,Arkansas,Marion Sch Dist,2016,4132.0,41765000,41012000,9925.459825750242
488,Arkansas,Cross County School District,2016,665.0,7919000,8523000,12816.541353383458
489,Arkansas,Wynne Sch Dist 9,2016,2667.0,26700000,25850000,9692.538432695914
490,Arkansas,Fordyce Sch Dist 39,2016,826.0,11035000,10678000,12927.360774818402
491,Arkansas,Dumas School District,2016,1409.0,15604000,15256000,10827.537260468418
492,Arkansas,Mcgehee Sch Dist,2016,1227.0,13691000,13026000,10616.136919315404
493,Arkansas,Drew Central Sch Dist 5,2016,1035.0,11387000,10456000,10102.415458937197
494,Arkansas,Monticello Sch Dist 18,2016,2110.0,22237000,22148000,10496.682464454976
495,Arkansas,Southeast Arkansas Educ Serv Coop,2016,0.0,12835000,24303000,inf
496,Arkansas,Conway Sch Dist,2016,10014.0,104870000,112982000,11282.404633513082
497,Arkansas,Greenbrier School Dist,2016,3453.0,35008000,40677000,11780.191138140748
498,Arkansas,Guy Perkins Sch Dist,2016,394.0,4603000,4320000,10964.467005076142
499,Arkansas,Mayflower Sch Dist,2016,1130.0,11751000,10836000,9589.38053097345
500,Arkansas,Mt Vernon/Enola School Dist,2016,543.0,5368000,4843000,8918.968692449356
501,Arkansas,Vilonia Sch Dist,2016,3317.0,33829000,32128000,9685.860717515827
502,Arkansas,Charleston Sch Dist,2016,920.0,8505000,7924000,8613.04347826087
